"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTMR7",38.3091374217196,-1.00215321357904,0.286729105500453,-3.49512203105401,0.00047384505533996,0.0410678300154004
"NPC1L1",216.912023799919,-2.9802959968703,0.538739513634922,-5.53197959578272,3.1663674483721e-08,5.29855057476052e-05
"CPS1",1069.92213577509,-3.09957587355918,0.678444178381385,-4.56865276809371,4.90869220955286e-06,0.00254246881730031
"SLC18A1",319.615661246642,-2.65592407801392,0.66577219939503,-3.98923848191212,6.62857539059786e-05,0.014137061671281
"USP2",77.1650825940871,1.24069186474219,0.309120753265352,4.01361555843898,5.97957075304126e-05,0.013139351733501
"USH2A",25.7629416820293,-2.01115292047834,0.444767956591091,-4.52180264039873,6.13152154984281e-06,0.00289980871332896
"PTPRN",87.736820448596,2.12697431112468,0.476367905207842,4.46498239673949,8.00753352503849e-06,0.0031328813733779
"FOXC1",230.983710625241,1.26860822303307,0.351323499946772,3.61094041026369,0.000305088760050494,0.034210829309992
"MSH4",16.5405738917801,-2.13251997935383,0.477057138059553,-4.47015631718233,7.81624496378921e-06,0.0031328813733779
"CLDN18",384.989348125148,-6.11050073697951,0.772306427890039,-7.91201589979453,2.53254038264582e-15,5.50928834840772e-11
"TRO",114.062912034521,1.15529770373868,0.303950270752183,3.80094316376056,0.000144146366106921,0.0214778085499312
"MS4A12",264.90545712326,2.73455921936703,0.657558553708511,4.15865507937599,3.20126862594004e-05,0.00928538635849327
"PANX2",23.6232417416261,2.03766366499498,0.405742393120932,5.02206251932776,5.11195367170212e-07,0.000427713231439262
"DHRS9",680.478650327647,2.65005188035577,0.491652586655664,5.39009038553431,7.04222554577744e-08,9.01156320722603e-05
"SMC1B",20.5379132517122,-1.94053823193232,0.459840566224928,-4.22002401367763,2.44276297036265e-05,0.00759140937960988
"SLC22A17",197.038484956265,1.08590961460573,0.301389621030189,3.60300932359234,0.000314554241199382,0.0347350911830018
"COL9A3",1147.8905542626,1.63429929528189,0.422920611638209,3.86431696708121,0.000111400486428134,0.0183294149328241
"MMP11",6805.60929628683,1.58626300908454,0.371312329936312,4.27204507148097,1.93688414364283e-05,0.00628880263594122
"APOL4",395.851757816117,-1.16479472329746,0.307441629637324,-3.78866949369062,0.00015145624585781,0.0220980586818938
"ISM2",72.3360725044814,3.08567628470956,0.549981105723751,5.61051325690351,2.01727417514538e-08,3.65698186717605e-05
"RAB5IF",105.830710087617,1.0112909660263,0.288538168707494,3.50487760616342,0.000456817241764518,0.0405616419483483
"GDPD3",199.152971847466,1.17480446060106,0.271362121133527,4.32928684259134,1.4959298407838e-05,0.00516546948514457
"EPHX3",28.7076865018283,1.82852176447112,0.355683885504904,5.14086198163146,2.73480896198604e-07,0.000283300162662116
"MAST1",57.2349861592887,1.15455386163331,0.325215367871397,3.55012086049349,0.000385054330551195,0.037902587813623
"TMEM59L",17.0542814237738,1.49325884157174,0.431987318981744,3.45671915807984,0.000546794382130664,0.0438928597375294
"GRIK5",50.724074761753,1.96006011582402,0.391890497360009,5.0015505071648,5.68710631890667e-07,0.000458212262449984
"SERPINE1",1656.29776588177,1.01763162044862,0.259087166309706,3.92775773089498,8.57415168412844e-05,0.0157509300788367
"DKK1",57.1937943919044,2.56833164080036,0.517153741896278,4.96628262106914,6.82484739690366e-07,0.000511957690593938
"VTN",20.620917841469,-1.79385875670097,0.500693938507681,-3.58274510382045,0.000340002341444935,0.0359049074553064
"CRYAB",436.960799443916,1.33267517703132,0.297645422896985,4.47739180418224,7.55605000829767e-06,0.00310140211095297
"NRXN2",199.342995605441,1.32764821751245,0.390960829464792,3.39585993647994,0.00068413358060955,0.0497747221156527
